Ewe/V	Capacity/mA.h	
2.9105034E+000	0.000000000000000E+000
2.9102554E+000	0.000000000000000E+000
2.9098930E+000	0.000000000000000E+000
2.9095113E+000	0.000000000000000E+000
2.9093206E+000	0.000000000000000E+000
2.9089773E+000	0.000000000000000E+000
2.9085767E+000	0.000000000000000E+000
2.9082906E+000	0.000000000000000E+000
2.9079280E+000	0.000000000000000E+000
2.9077182E+000	0.000000000000000E+000
2.9073749E+000	0.000000000000000E+000
2.9070315E+000	0.000000000000000E+000
2.9066498E+000	0.000000000000000E+000
2.9064591E+000	0.000000000000000E+000
2.9060013E+000	0.000000000000000E+000
2.9056580E+000	0.000000000000000E+000
2.9054863E+000	0.000000000000000E+000
2.9050474E+000	0.000000000000000E+000
2.9046278E+000	0.000000000000000E+000
2.9043989E+000	0.000000000000000E+000
2.9039412E+000	0.000000000000000E+000
2.9038267E+000	0.000000000000000E+000
2.9032924E+000	0.000000000000000E+000
2.9029682E+000	0.000000000000000E+000
2.9027202E+000	0.000000000000000E+000
2.9023004E+000	0.000000000000000E+000
2.9019380E+000	0.000000000000000E+000
2.9017663E+000	0.000000000000000E+000
2.9013467E+000	0.000000000000000E+000
2.9009080E+000	0.000000000000000E+000
2.9006407E+000	0.000000000000000E+000
2.9004881E+000	0.000000000000000E+000
2.8999159E+000	0.000000000000000E+000
2.8994963E+000	0.000000000000000E+000
2.8991528E+000	0.000000000000000E+000
2.8989048E+000	0.000000000000000E+000
2.8986187E+000	0.000000000000000E+000
2.8981991E+000	0.000000000000000E+000
2.8978558E+000	0.000000000000000E+000
2.8975694E+000	0.000000000000000E+000
2.8971498E+000	0.000000000000000E+000
2.8968065E+000	0.000000000000000E+000
2.8965585E+000	0.000000000000000E+000
2.8961005E+000	0.000000000000000E+000
2.8958907E+000	0.000000000000000E+000
2.8955474E+000	0.000000000000000E+000
2.8951850E+000	0.000000000000000E+000
2.8947651E+000	0.000000000000000E+000
2.8943455E+000	0.000000000000000E+000
2.8939068E+000	0.000000000000000E+000
2.8936207E+000	0.000000000000000E+000
2.8932390E+000	0.000000000000000E+000
2.8930292E+000	0.000000000000000E+000
2.8926287E+000	0.000000000000000E+000
2.8923044E+000	0.000000000000000E+000
2.8920565E+000	0.000000000000000E+000
2.8916748E+000	0.000000000000000E+000
2.8913314E+000	0.000000000000000E+000
2.8910453E+000	0.000000000000000E+000
2.8906066E+000	0.000000000000000E+000
2.8903012E+000	0.000000000000000E+000
2.8899770E+000	0.000000000000000E+000
2.8896337E+000	0.000000000000000E+000
2.8892331E+000	0.000000000000000E+000
2.8890233E+000	0.000000000000000E+000
2.8887370E+000	0.000000000000000E+000
2.8883936E+000	0.000000000000000E+000
2.8880694E+000	0.000000000000000E+000
2.8877261E+000	0.000000000000000E+000
2.8874397E+000	0.000000000000000E+000
2.8870583E+000	0.000000000000000E+000
2.8867722E+000	0.000000000000000E+000
2.8862953E+000	0.000000000000000E+000
2.8861427E+000	0.000000000000000E+000
2.8856847E+000	0.000000000000000E+000
2.8853414E+000	0.000000000000000E+000
2.8851507E+000	0.000000000000000E+000
2.8848073E+000	0.000000000000000E+000
2.8844447E+000	0.000000000000000E+000
2.8842349E+000	0.000000000000000E+000
2.8839107E+000	0.000000000000000E+000
2.8835101E+000	0.000000000000000E+000
2.8833003E+000	0.000000000000000E+000
2.8829567E+000	0.000000000000000E+000
2.8827469E+000	0.000000000000000E+000
2.8823845E+000	0.000000000000000E+000
2.8820603E+000	0.000000000000000E+000
2.8817170E+000	0.000000000000000E+000
2.8815453E+000	0.000000000000000E+000
2.8811827E+000	0.000000000000000E+000
2.8809156E+000	0.000000000000000E+000
2.8805723E+000	0.000000000000000E+000
2.8803053E+000	0.000000000000000E+000
2.8800189E+000	0.000000000000000E+000
2.8796756E+000	0.000000000000000E+000
2.8793323E+000	0.000000000000000E+000
2.8791606E+000	0.000000000000000E+000
2.8788745E+000	0.000000000000000E+000
2.8786457E+000	0.000000000000000E+000
2.8782640E+000	0.000000000000000E+000
2.8780351E+000	0.000000000000000E+000
2.8778443E+000	0.000000000000000E+000
2.8775964E+000	0.000000000000000E+000
2.8773103E+000	0.000000000000000E+000
2.8769286E+000	0.000000000000000E+000
2.8766806E+000	0.000000000000000E+000
2.8764136E+000	0.000000000000000E+000
2.8761275E+000	0.000000000000000E+000
2.8758223E+000	0.000000000000000E+000
2.8755550E+000	0.000000000000000E+000
2.8753452E+000	0.000000000000000E+000
2.8750210E+000	0.000000000000000E+000
2.8747921E+000	0.000000000000000E+000
2.8745251E+000	0.000000000000000E+000
2.8742008E+000	0.000000000000000E+000
2.8741055E+000	0.000000000000000E+000
2.8738382E+000	0.000000000000000E+000
2.8736475E+000	0.000000000000000E+000
2.8732469E+000	0.000000000000000E+000
2.8730562E+000	0.000000000000000E+000
2.8728273E+000	0.000000000000000E+000
2.8724837E+000	0.000000000000000E+000
2.8723502E+000	0.000000000000000E+000
2.8721595E+000	0.000000000000000E+000
2.8718925E+000	0.000000000000000E+000
2.8717208E+000	0.000000000000000E+000
2.8714538E+000	0.000000000000000E+000
2.8712630E+000	0.000000000000000E+000
2.8709576E+000	0.000000000000000E+000
2.8706524E+000	0.000000000000000E+000
2.8704426E+000	0.000000000000000E+000
2.8703091E+000	0.000000000000000E+000
2.8699467E+000	0.000000000000000E+000
2.8698514E+000	0.000000000000000E+000
2.8696222E+000	0.000000000000000E+000
2.8693171E+000	0.000000000000000E+000
2.8691263E+000	0.000000000000000E+000
2.8688974E+000	0.000000000000000E+000
2.8687067E+000	0.000000000000000E+000
2.8684969E+000	0.000000000000000E+000
2.8682299E+000	0.000000000000000E+000
2.8679435E+000	0.000000000000000E+000
2.8678100E+000	0.000000000000000E+000
2.8675048E+000	0.000000000000000E+000
2.8673332E+000	0.000000000000000E+000
2.8671424E+000	0.000000000000000E+000
2.8669136E+000	0.000000000000000E+000
2.8666654E+000	0.000000000000000E+000
2.8664365E+000	0.000000000000000E+000
2.8663030E+000	0.000000000000000E+000
2.8660359E+000	0.000000000000000E+000
2.8658643E+000	0.000000000000000E+000
2.8657498E+000	0.000000000000000E+000
2.8653874E+000	0.000000000000000E+000
2.8651011E+000	0.000000000000000E+000
2.8649485E+000	0.000000000000000E+000
2.8647578E+000	0.000000000000000E+000
2.8644526E+000	0.000000000000000E+000
2.8643572E+000	0.000000000000000E+000
2.8641284E+000	0.000000000000000E+000
2.8640711E+000	0.000000000000000E+000
2.8638232E+000	0.000000000000000E+000
2.8636703E+000	0.000000000000000E+000
2.8633461E+000	0.000000000000000E+000
2.8632507E+000	0.000000000000000E+000
2.8629837E+000	0.000000000000000E+000
2.8627930E+000	0.000000000000000E+000
2.8626022E+000	0.000000000000000E+000
2.8623924E+000	0.000000000000000E+000
2.8621824E+000	0.000000000000000E+000
2.8619344E+000	0.000000000000000E+000
2.8617628E+000	0.000000000000000E+000
2.8615720E+000	0.000000000000000E+000
2.8615148E+000	0.000000000000000E+000
2.8612287E+000	0.000000000000000E+000
2.8611524E+000	0.000000000000000E+000
2.8608091E+000	0.000000000000000E+000
2.8606944E+000	0.000000000000000E+000
2.8605418E+000	0.000000000000000E+000
2.8604846E+000	0.000000000000000E+000
2.8601604E+000	0.000000000000000E+000
2.8599124E+000	0.000000000000000E+000
2.8597407E+000	0.000000000000000E+000
2.8595119E+000	0.000000000000000E+000
2.8594356E+000	0.000000000000000E+000
2.8591874E+000	0.000000000000000E+000
2.8591301E+000	0.000000000000000E+000
2.8589776E+000	0.000000000000000E+000
2.8587868E+000	0.000000000000000E+000
2.8585579E+000	0.000000000000000E+000
2.8584054E+000	0.000000000000000E+000
2.8581383E+000	0.000000000000000E+000
2.8580430E+000	0.000000000000000E+000
2.8578141E+000	0.000000000000000E+000
2.8576612E+000	0.000000000000000E+000
2.8575468E+000	0.000000000000000E+000
2.8573179E+000	0.000000000000000E+000
2.8572416E+000	0.000000000000000E+000
2.8569937E+000	0.000000000000000E+000
2.8569365E+000	0.000000000000000E+000
2.8567839E+000	0.000000000000000E+000
2.8564215E+000	0.000000000000000E+000
2.8564405E+000	0.000000000000000E+000
2.8561924E+000	0.000000000000000E+000
2.8560207E+000	0.000000000000000E+000
2.8559444E+000	0.000000000000000E+000
2.8557918E+000	0.000000000000000E+000
2.8556964E+000	0.000000000000000E+000
2.8554485E+000	0.000000000000000E+000
2.8553722E+000	0.000000000000000E+000
2.8552387E+000	0.000000000000000E+000
2.8550861E+000	0.000000000000000E+000
2.8549526E+000	0.000000000000000E+000
2.8546472E+000	0.000000000000000E+000
2.8545136E+000	0.000000000000000E+000
2.8543801E+000	0.000000000000000E+000
2.8542466E+000	0.000000000000000E+000
2.8540750E+000	0.000000000000000E+000
2.8539605E+000	0.000000000000000E+000
2.8538651E+000	0.000000000000000E+000
2.8537316E+000	0.000000000000000E+000
2.8535409E+000	0.000000000000000E+000
2.8535218E+000	0.000000000000000E+000
2.8532164E+000	0.000000000000000E+000
2.8530638E+000	0.000000000000000E+000
2.8530257E+000	0.000000000000000E+000
2.8528159E+000	0.000000000000000E+000
2.8526251E+000	0.000000000000000E+000
2.8525679E+000	0.000000000000000E+000
2.8524153E+000	0.000000000000000E+000
2.8521864E+000	0.000000000000000E+000
2.8521674E+000	0.000000000000000E+000
2.8519576E+000	0.000000000000000E+000
2.8517666E+000	0.000000000000000E+000
2.8516903E+000	0.000000000000000E+000
2.8515759E+000	0.000000000000000E+000
2.8513851E+000	0.000000000000000E+000
2.8512897E+000	0.000000000000000E+000
2.8511562E+000	0.000000000000000E+000
2.8510609E+000	0.000000000000000E+000
